TERRITORIO;TIPOLOGÍA PENAL;2015;2016; Var. % 16/15
Municipio de Granada;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);322;364;13,0
Municipio de Granada;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);269;238;-11,5
Municipio de Granada;6.-TRÁFICO DE DROGAS (EU);102;79;-22,5
Municipio de Granada;7.-DAÑOS;816;856;4,9
Municipio de Granada;8.-HURTOS;3787;4153;9,7
Municipio de Motril;1.-DELITOS Y FALTAS (EU);1986;1825;-8,1
Municipio de Motril;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Motril;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);38;33;-13,2
Municipio de Motril;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);74;144;94,6
Municipio de Motril;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);36;59;63,9
Municipio de Motril;6.-TRÁFICO DE DROGAS (EU);35;29;-17,1
Municipio de Motril;7.-DAÑOS;212;224;5,7
Municipio de Motril;8.-HURTOS;546;499;-8,6
Provincia de Huelva;1.-DELITOS Y FALTAS (EU);14894;15327;2,9
Provincia de Huelva;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;6;100,0
Provincia de Huelva;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);265;255;-3,8
Provincia de Huelva;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);1243;1129;-9,2
Provincia de Huelva;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);259;278;7,3
Provincia de Huelva;6.-TRÁFICO DE DROGAS (EU);116;102;-12,1
Provincia de Huelva;7.-DAÑOS;1125;1304;15,9
Provincia de Huelva;8.-HURTOS;4293;4553;6,1
Municipio de Huelva;1.-DELITOS Y FALTAS (EU);5615;5334;-5,0
Municipio de Huelva;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100,0
Municipio de Huelva;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);123;126;2,4
Municipio de Huelva;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);135;88;-34,8
Municipio de Huelva;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);87;54;-37,9
Municipio de Huelva;6.-TRÁFICO DE DROGAS (EU);36;32;-11,1
Municipio de Huelva;7.-DAÑOS;550;532;-3,3
Municipio de Huelva;8.-HURTOS;2231;2206;-1,1
Provincia de Jaén;1.-DELITOS Y FALTAS (EU);12872;12572;-2,3
Provincia de Jaén;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);4;1;-75,0
Provincia de Jaén;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);267;253;-5,2
Provincia de Jaén;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);709;735;3,7
Provincia de Jaén;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);282;284;0,7
Provincia de Jaén;6.-TRÁFICO DE DROGAS (EU);63;70;11,1
Provincia de Jaén;7.-DAÑOS;1567;1505;-4,0
Provincia de Jaén;8.-HURTOS;3365;3226;-4,1
Municipio de Jaén;1.-DELITOS Y FALTAS (EU);3486;3522;1,0
Municipio de Jaén;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Jaén;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);141;130;-7,8
Municipio de Jaén;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);145;181;24,8
Municipio de Jaén;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);136;130;-4,4
Municipio de Jaén;6.-TRÁFICO DE DROGAS (EU);4;20;400,0
Municipio de Jaén;7.-DAÑOS;456;427;-6,4
Municipio de Jaén;8.-HURTOS;1048;1054;0,6
Municipio de Linares;1.-DELITOS Y FALTAS (EU);1461;1436;-1,7
Municipio de Linares;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100,0
Municipio de Linares;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);50;35;-30,0
Municipio de Linares;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);63;68;7,9
Municipio de Linares;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);32;41;28,1
