TERRITORIO;TIPOLOGÍA PENAL;2015;2016; Var. % 16/15
Municipio de Santa Cruz de Tenerife;8.-HURTOS;2823;2603;-7,8
CANTABRIA;1.-DELITOS Y FALTAS (EU);12559;12739;1,4
CANTABRIA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;0;-100,0
CANTABRIA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);208;161;-22,6
CANTABRIA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);487;716;47,0
CANTABRIA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);182;175;-3,8
CANTABRIA;6.-TRÁFICO DE DROGAS (EU);94;71;-24,5
CANTABRIA;7.-DAÑOS;1272;1476;16,0
CANTABRIA;8.-HURTOS;3874;3865;-0,2
Municipio de Santander;1.-DELITOS Y FALTAS (EU);4627;4499;-2,8
Municipio de Santander;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Santander;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);118;88;-25,4
Municipio de Santander;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);129;171;32,6
Municipio de Santander;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);85;59;-30,6
Municipio de Santander;6.-TRÁFICO DE DROGAS (EU);29;24;-17,2
Municipio de Santander;7.-DAÑOS;465;445;-4,3
Municipio de Santander;8.-HURTOS;1699;1676;-1,4
Municipio de Torrelavega;1.-DELITOS Y FALTAS (EU);1182;1186;0,3
Municipio de Torrelavega;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Torrelavega;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);18;19;5,6
Municipio de Torrelavega;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);45;54;20,0
Municipio de Torrelavega;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);15;12;-20,0
Municipio de Torrelavega;6.-TRÁFICO DE DROGAS (EU);3;2;-33,3
Municipio de Torrelavega;7.-DAÑOS;96;129;34,4
Municipio de Torrelavega;8.-HURTOS;426;423;-0,7
CASTILLA Y LEÓN;1.-DELITOS Y FALTAS (EU);56151;54316;-3,3
CASTILLA Y LEÓN;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);6;6;0,0
CASTILLA Y LEÓN;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);689;679;-1,5
CASTILLA Y LEÓN;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);2506;2612;4,2
CASTILLA Y LEÓN;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);555;672;21,1
CASTILLA Y LEÓN;6.-TRÁFICO DE DROGAS (EU);240;259;7,9
CASTILLA Y LEÓN;7.-DAÑOS;8071;8103;0,4
CASTILLA Y LEÓN;8.-HURTOS;18340;16932;-7,7
Provincia de Ávila;1.-DELITOS Y FALTAS (EU);3728;3630;-2,6
Provincia de Ávila;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100,0
Provincia de Ávila;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);41;33;-19,5
Provincia de Ávila;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);352;327;-7,1
Provincia de Ávila;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);29;30;3,4
Provincia de Ávila;6.-TRÁFICO DE DROGAS (EU);18;17;-5,6
Provincia de Ávila;7.-DAÑOS;649;632;-2,6
Provincia de Ávila;8.-HURTOS;794;698;-12,1
Municipio de Ávila;1.-DELITOS Y FALTAS (EU);1060;1108;4,5
Municipio de Ávila;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Ávila;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);15;12;-20,0
Municipio de Ávila;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);38;31;-18,4
Municipio de Ávila;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);7;11;57,1
Municipio de Ávila;6.-TRÁFICO DE DROGAS (EU);5;5;0,0
Municipio de Ávila;7.-DAÑOS;183;183;0,0
Municipio de Ávila;8.-HURTOS;312;279;-10,6
Provincia de Burgos;1.-DELITOS Y FALTAS (EU);8354;8334;-0,2
Provincia de Burgos;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;2;100,0
Provincia de Burgos;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);120;147;22,5
Provincia de Burgos;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);345;310;-10,1
Provincia de Burgos;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);84;121;44,0
Provincia de Burgos;6.-TRÁFICO DE DROGAS (EU);34;58;70,6
Provincia de Burgos;7.-DAÑOS;1242;1239;-0,2
Provincia de Burgos;8.-HURTOS;2929;2733;-6,7
Municipio de Burgos;1.-DELITOS Y FALTAS (EU);4401;4304;-2,2
Municipio de Burgos;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Burgos;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);68;97;42,6
Municipio de Burgos;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);117;102;-12,8
Municipio de Burgos;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);38;56;47,4
Municipio de Burgos;6.-TRÁFICO DE DROGAS (EU);20;19;-5,0
Municipio de Burgos;7.-DAÑOS;586;548;-6,5
Municipio de Burgos;8.-HURTOS;1883;1778;-5,6
Provincia de León;1.-DELITOS Y FALTAS (EU);11689;11182;-4,3
Provincia de León;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;2;0,0
Provincia de León;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);176;185;5,1
Provincia de León;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);571;667;16,8
Provincia de León;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);136;161;18,4
Provincia de León;6.-TRÁFICO DE DROGAS (EU);42;32;-23,8
Provincia de León;7.-DAÑOS;1803;1684;-6,6
Provincia de León;8.-HURTOS;3722;3442;-7,5
Municipio de León;1.-DELITOS Y FALTAS (EU);4606;4457;-3,2
Municipio de León;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;1;0,0
Municipio de León;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);120;113;-5,8
Municipio de León;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);111;144;29,7
Municipio de León;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);53;58;9,4
Municipio de León;6.-TRÁFICO DE DROGAS (EU);6;9;50,0
Municipio de León;7.-DAÑOS;612;638;4,2
Municipio de León;8.-HURTOS;1813;1787;-1,4
Municipio de Ponferrada;1.-DELITOS Y FALTAS (EU);1628;1409;-13,5
Municipio de Ponferrada;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Ponferrada;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);19;19;0,0
Municipio de Ponferrada;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);62;64;3,2
Municipio de Ponferrada;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);23;28;21,7
Municipio de Ponferrada;6.-TRÁFICO DE DROGAS (EU);8;10;25,0
Municipio de Ponferrada;7.-DAÑOS;265;210;-20,8
Municipio de Ponferrada;8.-HURTOS;610;465;-23,8
Provincia de Palencia;1.-DELITOS Y FALTAS (EU);2992;2927;-2,2
Provincia de Palencia;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Provincia de Palencia;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);40;37;-7,5
Provincia de Palencia;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);110;110;0,0
Provincia de Palencia;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);18;38;111,1
Provincia de Palencia;6.-TRÁFICO DE DROGAS (EU);14;11;-21,4
Provincia de Palencia;7.-DAÑOS;529;508;-4,0
Provincia de Palencia;8.-HURTOS;870;784;-9,9
Municipio de Palencia;1.-DELITOS Y FALTAS (EU);1585;1506;-5,0
Municipio de Palencia;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Palencia;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);27;19;-29,6
Municipio de Palencia;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);45;38;-15,6
Municipio de Palencia;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);12;19;58,3
Municipio de Palencia;6.-TRÁFICO DE DROGAS (EU);5;7;40,0
Municipio de Palencia;7.-DAÑOS;336;268;-20,2
Municipio de Palencia;8.-HURTOS;507;474;-6,5
Provincia de Salamanca;1.-DELITOS Y FALTAS (EU);7506;7289;-2,9
Provincia de Salamanca;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;2;0,0
Provincia de Salamanca;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);124;117;-5,6
Provincia de Salamanca;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);262;191;-27,1
Provincia de Salamanca;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);81;91;12,3
Provincia de Salamanca;6.-TRÁFICO DE DROGAS (EU);44;38;-13,6
Provincia de Salamanca;7.-DAÑOS;863;916;6,1
Provincia de Salamanca;8.-HURTOS;2823;2876;1,9
Municipio de Salamanca;1.-DELITOS Y FALTAS (EU);4352;4149;-4,7
Municipio de Salamanca;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;2;100,0
Municipio de Salamanca;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);100;90;-10,0
Municipio de Salamanca;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);76;68;-10,5
Municipio de Salamanca;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);41;50;22,0
Municipio de Salamanca;6.-TRÁFICO DE DROGAS (EU);20;13;-35,0
Municipio de Salamanca;7.-DAÑOS;432;423;-2,1
Municipio de Salamanca;8.-HURTOS;2002;2066;3,2
Provincia de Segovia;1.-DELITOS Y FALTAS (EU);3368;3339;-0,9
Provincia de Segovia;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Provincia de Segovia;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);35;22;-37,1
Provincia de Segovia;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);203;259;27,6
Provincia de Segovia;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);27;32;18,5
Provincia de Segovia;6.-TRÁFICO DE DROGAS (EU);18;25;38,9
Provincia de Segovia;7.-DAÑOS;519;567;9,2
Provincia de Segovia;8.-HURTOS;885;710;-19,8
Municipio de Segovia;1.-DELITOS Y FALTAS (EU);1231;1175;-4,5
Municipio de Segovia;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Segovia;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);11;9;-18,2
Municipio de Segovia;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);29;23;-20,7
Municipio de Segovia;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);9;6;-33,3
Municipio de Segovia;6.-TRÁFICO DE DROGAS (EU);5;6;20,0
Municipio de Segovia;7.-DAÑOS;211;198;-6,2
Municipio de Segovia;8.-HURTOS;438;373;-14,8
Provincia de Soria;1.-DELITOS Y FALTAS (EU);1730;1750;1,2
Provincia de Soria;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100,0
Provincia de Soria;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);17;21;23,5
Provincia de Soria;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);96;106;10,4
Provincia de Soria;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);4;19;375,0
Provincia de Soria;6.-TRÁFICO DE DROGAS (EU);13;10;-23,1
Provincia de Soria;7.-DAÑOS;210;287;36,7
Provincia de Soria;8.-HURTOS;488;411;-15,8
Municipio de Soria;1.-DELITOS Y FALTAS (EU);870;893;2,6
Municipio de Soria;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100,0
Municipio de Soria;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);8;13;62,5
Municipio de Soria;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);20;35;75,0
Municipio de Soria;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);1;15;1400,0
Municipio de Soria;6.-TRÁFICO DE DROGAS (EU);6;8;33,3
Municipio de Soria;7.-DAÑOS;100;122;22,0
Municipio de Soria;8.-HURTOS;307;262;-14,7
Provincia de Valladolid;1.-DELITOS Y FALTAS (EU);13334;12473;-6,5
Provincia de Valladolid;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Provincia de Valladolid;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);99;89;-10,1
Provincia de Valladolid;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);426;513;20,4
Provincia de Valladolid;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);121;134;10,7
Provincia de Valladolid;6.-TRÁFICO DE DROGAS (EU);35;48;37,1
Provincia de Valladolid;7.-DAÑOS;1847;1814;-1,8
Provincia de Valladolid;8.-HURTOS;4796;4302;-10,3
Municipio de Valladolid;1.-DELITOS Y FALTAS (EU);7530;6815;-9,5
Municipio de Valladolid;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Valladolid;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);81;68;-16,0
Municipio de Valladolid;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);191;228;19,4
Municipio de Valladolid;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);61;61;0,0
Municipio de Valladolid;6.-TRÁFICO DE DROGAS (EU);23;22;-4,3
Municipio de Valladolid;7.-DAÑOS;886;854;-3,6
Municipio de Valladolid;8.-HURTOS;3179;2844;-10,5
Provincia de Zamora;1.-DELITOS Y FALTAS (EU);3450;3392;-1,7
Provincia de Zamora;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Provincia de Zamora;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);37;28;-24,3
Provincia de Zamora;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);141;129;-8,5
Provincia de Zamora;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);55;46;-16,4
Provincia de Zamora;6.-TRÁFICO DE DROGAS (EU);22;20;-9,1
Provincia de Zamora;7.-DAÑOS;409;456;11,5
Provincia de Zamora;8.-HURTOS;1033;976;-5,5
Municipio de Zamora;1.-DELITOS Y FALTAS (EU);1482;1430;-3,5
Municipio de Zamora;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Zamora;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);22;16;-27,3
Municipio de Zamora;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);47;41;-12,8
Municipio de Zamora;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);35;12;-65,7
Municipio de Zamora;6.-TRÁFICO DE DROGAS (EU);9;9;0,0
Municipio de Zamora;7.-DAÑOS;199;212;6,5
Municipio de Zamora;8.-HURTOS;492;489;-0,6
CASTILLA - LA MANCHA;1.-DELITOS Y FALTAS (EU);50835;48238;-5,1
CASTILLA - LA MANCHA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);11;10;-9,1
CASTILLA - LA MANCHA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);780;791;1,4
CASTILLA - LA MANCHA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);4517;4400;-2,6
CASTILLA - LA MANCHA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);921;1109;20,4
CASTILLA - LA MANCHA;6.-TRÁFICO DE DROGAS (EU);272;271;-0,4
CASTILLA - LA MANCHA;7.-DAÑOS;6043;5404;-10,6
CASTILLA - LA MANCHA;8.-HURTOS;12917;12078;-6,5
Provincia de Albacete;1.-DELITOS Y FALTAS (EU);9398;8779;-6,6
Provincia de Albacete;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;1;-50,0
Provincia de Albacete;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);158;167;5,7
Provincia de Albacete;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);561;516;-8,0
Provincia de Albacete;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);138;140;1,4
Provincia de Albacete;6.-TRÁFICO DE DROGAS (EU);71;62;-12,7
Provincia de Albacete;7.-DAÑOS;955;870;-8,9
Provincia de Albacete;8.-HURTOS;3491;3134;-10,2
Municipio de Albacete;1.-DELITOS Y FALTAS (EU);4253;4230;-0,5
Municipio de Albacete;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100,0
Municipio de Albacete;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);83;98;18,1
Municipio de Albacete;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);162;166;2,5
Municipio de Albacete;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);89;81;-9,0
Municipio de Albacete;6.-TRÁFICO DE DROGAS (EU);23;27;17,4
Municipio de Albacete;7.-DAÑOS;242;240;-0,8
Municipio de Albacete;8.-HURTOS;2096;2073;-1,1
Provincia de Ciudad Real;1.-DELITOS Y FALTAS (EU);10842;9581;-11,6
Provincia de Ciudad Real;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);4;0;-100,0
Provincia de Ciudad Real;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);127;118;-7,1
Provincia de Ciudad Real;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);561;516;-8,0
Provincia de Ciudad Real;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);94;130;38,3
Provincia de Ciudad Real;6.-TRÁFICO DE DROGAS (EU);73;86;17,8
Provincia de Ciudad Real;7.-DAÑOS;1280;1018;-20,5
Provincia de Ciudad Real;8.-HURTOS;2798;2566;-8,3
Municipio de Ciudad Real;1.-DELITOS Y FALTAS (EU);1912;1949;1,9
Municipio de Ciudad Real;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Ciudad Real;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);38;47;23,7
Municipio de Ciudad Real;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);72;77;6,9
Municipio de Ciudad Real;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);13;31;138,5
Municipio de Ciudad Real;6.-TRÁFICO DE DROGAS (EU);13;12;-7,7
Municipio de Ciudad Real;7.-DAÑOS;197;211;7,1
Municipio de Ciudad Real;8.-HURTOS;667;749;12,3
Municipio de Puertollano;1.-DELITOS Y FALTAS (EU);1304;1152;-11,7
Municipio de Puertollano;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Puertollano;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);18;21;16,7
Municipio de Puertollano;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);63;32;-49,2
Municipio de Puertollano;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);11;21;90,9
Municipio de Puertollano;6.-TRÁFICO DE DROGAS (EU);5;5;0,0
Municipio de Puertollano;7.-DAÑOS;149;131;-12,1
Municipio de Puertollano;8.-HURTOS;332;315;-5,1
Provincia de Cuenca;1.-DELITOS Y FALTAS (EU);4391;4424;0,8
Provincia de Cuenca;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;0;-100,0
Provincia de Cuenca;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);62;60;-3,2
Provincia de Cuenca;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);313;302;-3,5
Provincia de Cuenca;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);47;77;63,8
Provincia de Cuenca;6.-TRÁFICO DE DROGAS (EU);11;10;-9,1
Provincia de Cuenca;7.-DAÑOS;629;676;7,5
Provincia de Cuenca;8.-HURTOS;1078;1016;-5,8
Municipio de Cuenca;1.-DELITOS Y FALTAS (EU);1405;1381;-1,7
Municipio de Cuenca;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;0;-100,0
Municipio de Cuenca;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);42;32;-23,8
Municipio de Cuenca;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);69;48;-30,4
Municipio de Cuenca;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);22;31;40,9
Municipio de Cuenca;6.-TRÁFICO DE DROGAS (EU);0;1;100,0
Municipio de Cuenca;7.-DAÑOS;179;210;17,3
Municipio de Cuenca;8.-HURTOS;409;412;0,7
Provincia de Guadalajara;1.-DELITOS Y FALTAS (EU);6694;6584;-1,6
Provincia de Guadalajara;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;6;500,0
Provincia de Guadalajara;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);120;170;41,7
Provincia de Guadalajara;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);603;551;-8,6
Provincia de Guadalajara;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);183;232;26,8
Provincia de Guadalajara;6.-TRÁFICO DE DROGAS (EU);23;23;0,0
Provincia de Guadalajara;7.-DAÑOS;1231;984;-20,1
Provincia de Guadalajara;8.-HURTOS;1521;1482;-2,6
Municipio de Guadalajara;1.-DELITOS Y FALTAS (EU);2379;2303;-3,2
Municipio de Guadalajara;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Guadalajara;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);62;79;27,4
Municipio de Guadalajara;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);130;114;-12,3
Municipio de Guadalajara;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);77;83;7,8
Municipio de Guadalajara;6.-TRÁFICO DE DROGAS (EU);8;5;-37,5
Municipio de Guadalajara;7.-DAÑOS;357;279;-21,8
Municipio de Guadalajara;8.-HURTOS;728;738;1,4
Provincia de Toledo;1.-DELITOS Y FALTAS (EU);19510;18870;-3,3
Provincia de Toledo;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;3;200,0
Provincia de Toledo;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);313;276;-11,8
Provincia de Toledo;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);2479;2515;1,5
Provincia de Toledo;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);459;530;15,5
Provincia de Toledo;6.-TRÁFICO DE DROGAS (EU);94;90;-4,3
Provincia de Toledo;7.-DAÑOS;1948;1856;-4,7
Provincia de Toledo;8.-HURTOS;4029;3880;-3,7
Municipio de Talavera de la Reina;1.-DELITOS Y FALTAS (EU);1957;1859;-5,0
Municipio de Talavera de la Reina;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100,0
Municipio de Talavera de la Reina;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);44;51;15,9
Municipio de Talavera de la Reina;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);114;93;-18,4
Municipio de Talavera de la Reina;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);30;22;-26,7
Municipio de Talavera de la Reina;6.-TRÁFICO DE DROGAS (EU);14;15;7,1
Municipio de Talavera de la Reina;7.-DAÑOS;195;226;15,9
Municipio de Talavera de la Reina;8.-HURTOS;779;616;-20,9
Municipio de Toledo;1.-DELITOS Y FALTAS (EU);2362;2540;7,5
Municipio de Toledo;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Toledo;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);29;27;-6,9
Municipio de Toledo;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);124;159;28,2
Municipio de Toledo;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);61;74;21,3
Municipio de Toledo;6.-TRÁFICO DE DROGAS (EU);12;12;0,0
Municipio de Toledo;7.-DAÑOS;214;201;-6,1
Municipio de Toledo;8.-HURTOS;704;811;15,2
CATALUÑA;1.-DELITOS Y FALTAS (EU);315478;306558;-2,8
CATALUÑA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);28;41;46,4
CATALUÑA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);16340;14942;-8,6
CATALUÑA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);18030;17696;-1,9
CATALUÑA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);6409;5915;-7,7
CATALUÑA;6.-TRÁFICO DE DROGAS (EU);1457;1666;14,3
CATALUÑA;7.-DAÑOS;29517;29404;-0,4
CATALUÑA;8.-HURTOS;126154;124432;-1,4
Provincia de Barcelona;1.-DELITOS Y FALTAS (EU);238761;235302;-1,4
Provincia de Barcelona;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);25;32;28,0
Provincia de Barcelona;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);14566;13176;-9,5
Provincia de Barcelona;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);12521;12149;-3,0
Provincia de Barcelona;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);5403;5069;-6,2
Provincia de Barcelona;6.-TRÁFICO DE DROGAS (EU);841;991;17,8
Provincia de Barcelona;7.-DAÑOS;20982;21095;0,5
Provincia de Barcelona;8.-HURTOS;102564;102958;0,4
Municipio de Badalona;1.-DELITOS Y FALTAS (EU);8247;7968;-3,4
Municipio de Badalona;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;2;100,0
Municipio de Badalona;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);1027;890;-13,3
Municipio de Badalona;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);368;350;-4,9
Municipio de Badalona;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);172;176;2,3
Municipio de Badalona;6.-TRÁFICO DE DROGAS (EU);27;28;3,7
Municipio de Badalona;7.-DAÑOS;853;887;4,0
Municipio de Badalona;8.-HURTOS;2673;2310;-13,6
Municipio de Barcelona;1.-DELITOS Y FALTAS (EU);115781;115324;-0,4
Municipio de Barcelona;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);11;9;-18,2
Municipio de Barcelona;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);7872;7017;-10,9
Municipio de Barcelona;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);5100;4176;-18,1
